game_made_with,count,percentage
unity,8235,16.425650742993916
,32042,63.91143911439114
gamemaker: studio,1485,2.962002592998903
aseprite,427,0.8517004088959809
godot,956,1.9068515009474418
construct,1399,2.790465742495263
libgdx,119,0.23735913034806025
pico-8,747,1.4899770619327815
tic-80,99,0.1974668395332602
blender,405,0.8078188889997008
adobe photoshop,481,0.959409594095941
pixijs,141,0.2812406502443403
twine,964,1.922808417273362
phaser,370,0.7380073800738007
defold,81,0.16156377779994016
gimp,350,0.6981150892590007
bosca ceoil,108,0.2154183703999202
bfxr,182,0.3630198464146804
maya,62,0.12366610152588012
openfl,124,0.24733220305176024
oculus rift,115,0.22938067218510022
unreal engine,395,0.7878727435923008
rpg maker,452,0.9015657724144809
audacity,378,0.7539642963997207
krita,117,0.23336990126658022
monogame,55,0.1097037997407001
inkscape,102,0.2034506831554802
paint.net,132,0.26328911937768024
löve,336,0.6701904856886407
adobe illustrator,83,0.16555300688142016
superpowers,8,0.015956916325920015
graphicsgale,26,0.05185997805924005
piskel,87,0.17353146504438016
clip studio paint,54,0.1077091851999601
sublime text,30,0.05983843622220006
pyxel edit,63,0.12566071606662013
3ds max,52,0.1037199561184801
haxe,31,0.06183305076294006
lmms,64,0.12765533060736012
substance painter & designer,45,0.08975765433330009
clickteam fusion,49,0.0977361124962601
bitsy,1226,2.4453974269472423
sfml,14,0.02792460357036003
tiled,65,0.12964994514810013
sdl,33,0.06582227984442006
puzzlescript,76,0.15159070509624015
pygame,31,0.06183305076294006
fl studio,98,0.1954722249925202
appgamekit,10,0.01994614540740002
milkytracker,6,0.011967687244440013
magicavoxel,34,0.06781689438516007
adobe after effects,18,0.03590306173332004
crocotile 3d,1,0.001994614540740002
paint tool sai,39,0.07778996708886007
cinema 4d,9,0.01795153086666002
rust,8,0.015956916325920015
three.js,7,0.013962301785180015
chiptone,24,0.04787074897776005
xna,7,0.013962301785180015
ren'py,328,0.6542335693627207
corona sdk,17,0.03390844719258004
doodle studio 95!,3,0.005983843622220006
stencyl,14,0.02792460357036003
logic pro,13,0.025929989029620026
tyranobuilder,51,0.1017253415777401
zbrush,13,0.025929989029620026
multimedia fusion,5,0.00997307270370001
fna,2,0.003989229081480004
box2d,5,0.00997307270370001
gb studio,3,0.005983843622220006
sketchup,6,0.011967687244440013
rexpaint,2,0.003989229081480004
adventure game studio,4,0.007978458162960007
htc vive,31,0.06183305076294006
flashdevelop,11,0.021940759948140022
pixelmator,2,0.003989229081480004
allegro,10,0.01994614540740002
sprytile,2,0.003989229081480004
bullet (physics engine),1,0.001994614540740002
p5.js,16,0.03191383265184003
processing,10,0.01994614540740002
impact,4,0.007978458162960007
ct.js,6,0.011967687244440013
gear vr,2,0.003989229081480004
flickgame,20,0.03989229081480004
wings3d,2,0.003989229081480004
osvr (open-source virtual reality),1,0.001994614540740002
raylib,1,0.001994614540740002
pixel vision 8,2,0.003989229081480004
cryengine,1,0.001994614540740002
indiecade,1,0.001994614540740002
tilemancer,1,0.001994614540740002
melonjs,2,0.003989229081480004
lightweight java game library,2,0.003989229081480004
kenney studio,1,0.001994614540740002
