game_genres,count,percentage
action,8631,17.215518101126957
shooter,3985,7.948538944848908
interactive fiction,1670,3.331006283035803
,11599,23.135534058043284
puzzle,5914,11.796150393936372
platformer,7144,14.249526279046574
visual novel,1531,3.053754861872943
card game,409,0.8157973471626608
adventure,5129,10.23037797945547
rhythm,536,1.069113393836641
fighting,718,1.4321332402513214
racing,606,1.2087364116884411
role playing,2599,5.184003191383265
simulation,2571,5.128153984242545
survival,1670,3.331006283035803
strategy,1707,3.4048070210431836
sports,451,0.8995711578737409
educational,465,0.927495761444101
